merchant_id,id,product_type,currency_pair,transaction_date,debitcurrency,debitamount,sentcurrency,sentamount,baserate,actualrate
116439,6263905,F4B,UGX-KES,10/8/2025 6:32,UGX,17207,KES,634.7841253,26.5651112,27.10685305
3044451,6264212,F4B,UGX-KES,10/8/2025 6:34,UGX,10000,KES,368.9104,26.5651112,27.10685305
116439,6265959,F4B,UGX-KES,10/9/2025 6:32,UGX,34358,KES,1267.720182,26.56125466,27.10219533
708243,509181680,F4B,UGX-KES,10/9/2025 7:41,UGX,273199.7112,KES,10084,26.56125466,27.092395
1759391,509187828,F4B,UGX-KES,10/9/2025 9:16,UGX,125925.452,KES,4648,26.56125466,27.09239501
716454,509237441,F4B,KES-UGX,10/9/2025 21:22,KES,2306.5,UGX,60000,0.03768774,0.038441667
716454,509237582,F4B,KES-UGX,10/9/2025 21:28,KES,307.53,UGX,8000,0.03768774,0.03844125
3372103,509247084,F4B,UGX-KES,10/10/2025 5:46,UGX,45008.75,KES,1663,26.53416175,27.06479254
199840,6266670,F4B,UGX-KES,10/10/2025 6:25,UGX,600000,KES,22160.478,26.53416175,27.07522825
116439,6268059,F4B,UGX-KES,10/10/2025 6:31,UGX,51430.95,KES,1899.557393,26.53416175,27.07522825
2968298,6268375,F4B,UGX-KES,10/10/2025 6:33,UGX,33250,KES,1228.059823,26.53416175,27.07522825
716454,509255401,F4B,KES-UGX,10/10/2025 7:24,KES,4613,UGX,120000,0.03768774,0.038441667
116439,6270175,F4B,UGX-KES,10/13/2025 5:41,UGX,209511,KES,7747.134339,26.50347314,27.04367716
2968298,6270497,F4B,UGX-KES,10/13/2025 5:41,UGX,596600,KES,22060.60945,26.50347314,27.04367716
116439,6272162,F4B,UGX-KES,10/13/2025 5:47,UGX,190485,KES,7043.605752,26.50347314,27.04367716
199840,6272733,F4B,UGX-KES,10/13/2025 5:48,UGX,700000,KES,25884.054,26.50347314,27.04367716
716454,509441570,F4B,KES-UGX,10/13/2025 6:08,KES,5003.24,UGX,130000,0.03773203,0.038486462
3376153,6274061,F4B,UGX-KES,10/13/2025 8:05,UGX,150119.91,KES,5551.016938,26.50347314,27.04367716
100941,6274361,F4B,KES-UGX,10/13/2025 8:05,KES,485,UGX,12609.99599,0.03773203,0.038461551
708243,509454475,F4B,UGX-KES,10/13/2025 8:13,UGX,378304.6439,KES,13994,26.50347314,27.033346
194978,509455690,F4B,UGX-KES,10/13/2025 8:20,UGX,3000.7,KES,111,26.50347314,27.03333333
1759391,509525962,F4B,UGX-KES,10/14/2025 6:57,UGX,69100.5944,KES,2558,26.48392961,27.013524
716454,509548225,F4B,KES-UGX,10/14/2025 11:15,KES,5752,UGX,150000,0.03759469,0.038346667
116439,6277886,F4B,UGX-KES,10/15/2025 6:32,UGX,19048.5,KES,701.8015997,26.59991719,27.14228638
3037711,6279088,F4B,KES-UGX,10/16/2025 6:22,KES,1928,UGX,50185.74053,0.03765033,0.038417287
2968298,6280194,F4B,UGX-KES,10/16/2025 6:33,UGX,323000,KES,11917.85374,26.56144899,27.10219533
714579,509770686,F4B,UGX-KES,10/16/2025 13:51,UGX,4094224.92,KES,150000,26.75970787,27.2948328
714579,509770887,F4B,UGX-KES,10/16/2025 13:54,UGX,4094224.92,KES,150000,26.75970787,27.2948328
714579,509771058,F4B,UGX-KES,10/16/2025 13:56,UGX,1555805.47,KES,57000,26.75970787,27.29483281
3284403,6281859,F4B,UGX-KES,10/17/2025 6:22,UGX,4500,KES,164.80296,26.75970787,27.30533481
3362633,6282019,F4B,UGX-KES,10/17/2025 6:24,UGX,28246.98,KES,1034.485759,26.75970787,27.30533481
708243,509831628,F4B,UGX-KES,10/17/2025 10:46,UGX,243232.2953,KES,8860,26.91470514,27.452855
2769892,509871869,F4B,UGX-KES,10/17/2025 19:50,UGX,13177.3704,KES,480,26.91470514,27.452855
716454,509885585,F4B,KES-UGX,10/18/2025 6:24,KES,1894.94,UGX,50000,0.03715546,0.0378988
116439,6275956,F4B,UGX-KES,10/19/2025 7:12,UGX,51430.95,KES,1872.731524,26.91470514,27.4630663
2032400,6284793,F4B,KES-UGX,10/20/2025 6:53,KES,380,UGX,10033.53399,0.03715546,0.037872997
3090500,510001622,F4B,KES-UGX,10/20/2025 7:39,KES,1229.97,UGX,32454,0.03715546,0.037898872
100941,6288180,F4B,KES-UGX,10/20/2025 7:49,KES,194,UGX,5122.272086,0.03715546,0.037873818
1759391,510008931,F4B,UGX-KES,10/20/2025 9:43,UGX,55377.4933,KES,2012,26.98397574,27.52360502
716454,510017434,F4B,KES-UGX,10/20/2025 12:01,KES,1134.04,UGX,30000,0.03705948,0.037801333
708243,510059220,F4B,UGX-KES,10/21/2025 5:09,UGX,222633.9049,KES,8139,26.81775768,27.35396301
193210,6288995,F4B,UGX-KES,10/21/2025 5:47,UGX,2873.75,KES,105.0155899,26.81775768,27.36498459
116439,6289728,F4B,UGX-KES,10/21/2025 5:49,UGX,57145.5,KES,2088.270864,26.81775768,27.36498459
3372103,510061221,F4B,UGX-KES,10/21/2025 5:56,UGX,227010.54,KES,8299,26.81775768,27.35396313
116439,6291693,F4B,UGX-KES,10/22/2025 5:46,UGX,17378,KES,634.2365246,26.85253802,27.39987265
716454,510143549,F4B,KES-UGX,10/22/2025 10:16,KES,11395.85,UGX,300000,0.03724081,0.037986167
714579,510189022,F4B,UGX-KES,10/23/2025 4:51,UGX,3422573.15,KES,124315,26.9918174,27.53145759
3376153,6293849,F4B,UGX-KES,10/23/2025 6:43,UGX,104734.82,KES,3802.777828,26.9918174,27.54166158
716454,510243105,F4B,KES-UGX,10/23/2025 18:51,KES,1889.1,UGX,50000,0.03704174,0.037782
708243,510270690,F4B,UGX-KES,10/24/2025 8:20,UGX,298719.1739,KES,10848,26.99691688,27.536797
716454,510282310,F4B,KES-UGX,10/24/2025 10:48,KES,3784.47,UGX,100000,0.03710242,0.0378447
2624451,510292849,F4B,KES-UGX,10/24/2025 13:52,KES,6799.97,UGX,179681,0.03710242,0.03784468
158381,510317350,F4B,KES-UGX,10/24/2025 22:03,KES,812.0023,UGX,21456,0.03710242,0.037844999
199840,6296459,F4B,UGX-KES,10/27/2025 5:44,UGX,1500000,KES,54540.885,26.95314743,27.50230401
193210,6297083,F4B,UGX-KES,10/27/2025 5:46,UGX,2873.75,KES,104.4912455,26.95314743,27.50230401
708243,510437358,F4B,UGX-KES,10/27/2025 7:35,UGX,228128.7322,KES,8298,26.95314743,27.492014
2304281,510438502,F4B,UGX-KES,10/27/2025 7:47,UGX,88991.6493,KES,3237,26.95314743,27.49201399
858807,510439862,F4B,KES-UGX,10/27/2025 8:08,KES,5001.18,UGX,132150,0.03710242,0.037844722
1759391,510441529,F4B,UGX-KES,10/27/2025 8:33,UGX,58789.3257,KES,2138,26.95823947,27.49734598
716454,510448470,F4B,KES-UGX,10/27/2025 9:34,KES,17026.82,UGX,450000,0.03709488,0.037837378
194978,510469130,F4B,UGX-KES,10/27/2025 14:36,UGX,18010.76,KES,655,26.95823947,27.49734351
2032400,6302496,F4B,KES-UGX,10/28/2025 8:25,KES,380,UGX,10049.79483,0.03709488,0.037811717
193210,6302970,F4B,UGX-KES,10/28/2025 8:26,UGX,2873.75,KES,104.4710143,26.95823947,27.50762993
116439,6303723,F4B,UGX-KES,10/28/2025 8:30,UGX,17374,KES,631.6065777,26.95823947,27.50762993
721593,510557492,F4B,KES-UGX,10/28/2025 20:05,KES,999.97,UGX,26363,0.03718742,0.037930812
721593,510558549,F4B,KES-UGX,10/28/2025 20:26,KES,4000.0136,UGX,105455,0.03718742,0.037931
3037711,6304992,F4B,KES-UGX,10/29/2025 6:59,KES,1938,UGX,51072.61288,0.03718742,0.037945973
53822,510588307,F4B,UGX-KES,10/29/2025 9:06,UGX,3999984.062,KES,145831,26.89113542,27.428901
116439,6307734,F4B,UGX-KES,10/30/2025 6:53,UGX,36452.5,KES,1331.273733,26.83443883,27.38167148
2442159,6307762,F4B,UGX-KES,10/30/2025 6:53,UGX,16149.05,KES,589.7759023,26.83443883,27.38167148
708243,510658348,F4B,UGX-KES,10/30/2025 8:17,UGX,233639.7352,KES,8536,26.83443883,27.371103
1026124,510707036,F4B,KES-UGX,10/30/2025 20:35,KES,208.95,UGX,5500,0.03724612,0.037990909
193210,6309104,F4B,UGX-KES,10/31/2025 6:57,UGX,2873.75,KES,104.8937717,26.8487293,27.39676488
3284403,6309800,F4B,UGX-KES,10/31/2025 7:03,UGX,4700,KES,171.553102,26.8487293,27.39676488
3362633,6309972,F4B,UGX-KES,10/31/2025 7:06,UGX,53383.34,KES,1948.527143,26.8487293,27.39676488
28947,510741375,F4B,KES-UGX,10/31/2025 11:08,KES,16999.8236,UGX,449291,0.03709488,0.037837
